pmid,title,journal,pubdate,query_families,keyword_domains,priority_score,candidate_status
36721100,Genome-wide identification and characterisation of bHLH transcription factors in Artemisia annua.,BMC plant biology,2023 Feb 1,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics,2,title_priority_only
36788208,Diverse structures and antihepatoma effect of sesquiterpenoid dimers from Artemisia eriopoda by AKT/STAT signaling pathway.,Signal transduction and targeted therapy,2023 Feb 15,terpene_essential_oil;biosynthesis_genes,chemistry,2,title_priority_only
36807538,Metabolic engineering of the anthocyanin biosynthetic pathway in Artemisia annua and relation to the expression of the artemisinin biosynthetic pathway.,Planta,2023 Feb 19,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone,2,title_priority_only
36903525,Phytochemical Composition and Antimicrobial Activity of Essential Oil from the Leaves of Artemisia vulgaris L.,"Molecules (Basel, Switzerland)",2023 Feb 28,terpene_essential_oil;genomics_phylogenomics,chemistry,2,title_priority_only
36636815,Synergistic interaction of two bHLH transcription factors positively regulates artemisinin biosynthetic pathway in Artemisia annua L.,Physiologia plantarum,2023 Jan,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone,2,title_priority_only
36442941,Comprehensive two-dimensional countercurrent chromatography × gas chromatography characterization of Artemisia argyi essential oil.,Analytica chimica acta,2023 Jan 2,terpene_essential_oil,chemistry,2,title_priority_only
36770797,Multivariate Analysis of Essential Oil Composition of Artemisia annua L. Collected from Different Locations in Korea.,"Molecules (Basel, Switzerland)",2023 Jan 23,terpene_essential_oil,chemistry,2,title_priority_only
36601986,"Artemongolides A-F, undescribed sesquiterpenoid dimers from Artemisia mongolica and their antihepatic fibrosis activities.",Organic & biomolecular chemistry,2023 Jan 25,terpene_essential_oil;sesquiterpene_lactone,chemistry,2,title_priority_only
37156434,"Artemiprinolides A-M, thirteen undescribed sesquiterpenoid dimers from Artemisia princeps and their antihepatoma activity.",Phytochemistry,2023 Jul,terpene_essential_oil,chemistry,2,title_priority_only
37169131,Artemisia argyi H.Lév. & Vaniot essential oil induces ferroptosis in pancreatic cancer cells via up-regulation of TFR1 and depletion of γ-glutamyl cycle.,Fitoterapia,2023 Jul,terpene_essential_oil;biosynthesis_genes,chemistry,2,title_priority_only
37187257,"Genotoxicity, acute toxicity and chronic toxicities of ethyl acetate leaf extract of Artemisia ludoviciana Nutt. spp mexicana, on fasciolicidal efficacy.",Experimental parasitology,2023 Jul,safety,phenotype,2,title_priority_only
37649886,"Genome-wide identification of bZIP transcription factor family in Artemisia annua, its transcriptional profiling and regulatory role in phenylpropanoid metabolism under different light conditions.",Physiology and molecular biology of plants : an international journal of functional plant biology,2023 Jul,biosynthesis_genes;genomics_phylogenomics,genomics,2,title_priority_only
37513290,An Estimation of the Antiviral Activity and Toxicity of Biologically Active Substances Obtained from the Raw Materials of Artemisia cina Berg. In Vitro and In Vivo.,"Molecules (Basel, Switzerland)",2023 Jul 14,safety,phenotype,2,title_priority_only
37019158,"Myorelaxant and antispasmodic effects of the essential oil of Artemisia campestris L., and the molecular docking of its major constituents with the muscarinic receptor and the L-type voltage-gated Ca(2+)channel.",Journal of ethnopharmacology,2023 Jul 15,terpene_essential_oil,chemistry,2,title_priority_only
37301341,Chitosan-pullulan films enriched with Artemisia annua essential oil: Characterization and application in grape preservation.,International journal of biological macromolecules,2023 Jul 15,terpene_essential_oil;safety,chemistry,2,title_priority_only
36541391,Artemisinin as a therapeutic vs. its more complex Artemisia source material.,Natural product reports,2023 Jul 19,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,lactone,2,title_priority_only
37163901,In vivo anti-hepatitis B activity of Artemisia argyi essential oil-loaded nanostructured lipid carriers. Study of its mechanism of action by network pharmacology and molecular docking.,Phytomedicine : international journal of phytotherapy and phytopharmacology,2023 Jul 25,terpene_essential_oil;safety,chemistry,2,title_priority_only
37337774,"Artemannuols A-C, novel sesquiterpenoid-flavonol hybrids with antihepatoma activity from Artemisia annua.",Organic & biomolecular chemistry,2023 Jul 5,terpene_essential_oil,chemistry,2,title_priority_only
37420038,Nanoliposomes containing three essential oils from the Artemisia genus as effective larvicides against Aedes aegypti and Anopheles stephensi.,Scientific reports,2023 Jul 7,terpene_essential_oil,chemistry,2,title_priority_only
37062345,The first phytochemical investigation of Artemisia nujianensis: Eight new guaianolides and their anti-inflammatory activity.,Fitoterapia,2023 Jun,terpene_essential_oil;sesquiterpene_lactone,lactone,2,title_priority_only
37089824,Comparative assessment of hepatoprotective properties of Artesunate and flavonoids from Artemisia annua on acetaminophen and carbon tetrachloride-induced cytotoxicity in primary mice hepatocytes.,Metabolism open,2023 Jun,sesquiterpene_lactone,phenotype,2,title_priority_only
37123072,Optimization of in vitro and in vivo antifungal effects of trehalose coating included Artemisia sieberi essential oil on mulberry (Morus alba var. nigra) fruits using the hybrid RSM-GRA method.,Food science and biotechnology,2023 Jun,terpene_essential_oil,chemistry,2,title_priority_only
37193491,Isolation of potent antileishmanial agents from Artemisia kermanensis Podlech using bioguided fractionation.,Journal of parasitic diseases : official organ of the Indian Society for Parasitology,2023 Jun,antiparasitic;safety,phenotype,2,title_priority_only
37021639,Future antimalarials from Artemisia? A rationale for natural product mining against drug-refractory Plasmodium stages.,Natural product reports,2023 Jun 21,terpene_essential_oil;sesquiterpene_lactone;antiparasitic;safety,phenotype,2,title_priority_only
37044183,"Mitochondrial genome of Artemisia argyi L. suggested conserved mitochondrial protein-coding genes among genera Artemisia, Tanacetum and Chrysanthemum.",Gene,2023 Jun 30,genomics_phylogenomics,genomics,2,title_priority_only
35724377,Sesquiterpenes from Artemisia princeps regulate inflammatory responses in RAW 264.7 macrophages.,Natural product research,2023 Mar,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes,chemistry,2,title_priority_only
36650717,Chemical Composition Analysis and Discrimination of Essential Oils of Artemisia Argyi Folium from Different Germplasm Resources Based on Electronic Nose and GC/MS Combined with Chemometrics.,Chemistry & biodiversity,2023 Mar,terpene_essential_oil;safety,chemistry,2,title_priority_only
36740572,Anti-Inflammatory Activities of Monoterpene and Sesquiterpene Glycosides from the Aqueous Extract of Artemisia annua L.,Chemistry & biodiversity,2023 Mar,terpene_essential_oil,chemistry,2,title_priority_only
36379416,Apoptosis induction of essential oils from Artemisia arborescens L. in human prostate cancer cells.,Journal of ethnopharmacology,2023 Mar 1,terpene_essential_oil;biosynthesis_genes;genomics_phylogenomics,chemistry,2,title_priority_only
36899296,Comparative analysis of complete Artemisia subgenus Seriphidium (Asteraceae: Anthemideae) chloroplast genomes: insights into structural divergence and phylogenetic relationships.,BMC plant biology,2023 Mar 10,genomics_phylogenomics,genomics,2,title_priority_only
36983934,"In Vitro and In Silico Studies of Antimicrobial, and Antioxidant Activities of Chemically Characterized Essential Oil of Artemisia flahaultii L. (Asteraceae).","Life (Basel, Switzerland)",2023 Mar 13,terpene_essential_oil;biosynthesis_genes,chemistry,2,title_priority_only
36986977,"Chemical Diversity of Artemisia rutifolia Essential Oil, Antimicrobial and Antiradical Activity.","Plants (Basel, Switzerland)",2023 Mar 13,terpene_essential_oil;safety,chemistry,2,title_priority_only
36983962,Antimicrobial and Antioxidant Properties of Chemically Analyzed Essential Oil of Artemisia annua L. (Asteraceae) Native to Mediterranean Area.,"Life (Basel, Switzerland)",2023 Mar 16,terpene_essential_oil,chemistry,2,title_priority_only
35001767,Two new eudesmane sesquiterpene glucosides from the aerial parts of Artemisia vulgaris.,Natural product research,2023 May,terpene_essential_oil,chemistry,2,title_priority_only
37213685,Increased artemisinin production by promoting glandular secretory trichome formation and reconstructing the artemisinin biosynthetic pathway in Artemisia annua.,Horticulture research,2023 May,sesquiterpene_lactone,lactone,2,title_priority_only
37576776,Artemisia vulgaris anthelmintic activities to ova and adult stages of Fasciola gigantica in vitro.,Veterinary world,2023 May,antiparasitic,phenotype,2,title_priority_only
36976653,Phylogenomics and morphological evolution of the mega-diverse genus Artemisia (Asteraceae: Anthemideae): implications for its circumscription and infrageneric taxonomy.,Annals of botany,2023 May 15,genomics_phylogenomics,genomics,2,title_priority_only
37241993,The First Phytochemical Investigation of Artemisia divaricate: Sesquiterpenes and Their Anti-Inflammatory Activity.,"Molecules (Basel, Switzerland)",2023 May 22,terpene_essential_oil,chemistry,2,title_priority_only
37370564,"Phytochemistry, Pharmacology and Mode of Action of the Anti-Bacterial Artemisia Plants.","Bioengineering (Basel, Switzerland)",2023 May 23,terpene_essential_oil,chemistry,2,title_priority_only
37175336,Comparative Analysis of Active Ingredients and Potential Bioactivities of Essential Oils from Artemisia argyi and A. verlotorum.,"Molecules (Basel, Switzerland)",2023 May 6,terpene_essential_oil,chemistry,2,title_priority_only
37980503,Genome-wide characterization of regulator of chromosome condensation 1 (RCC1) gene family in Artemisia annua L. revealed a conservation evolutionary pattern.,BMC genomics,2023 Nov 18,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics,2,title_priority_only
38023498,Autofluorescent antimalarials by hybridization of artemisinin and coumarin: in vitro/in vivo studies and live-cell imaging.,Chemical science,2023 Nov 22,sesquiterpene_lactone;antiparasitic,lactone;phenotype,2,title_priority_only
38136596,Functions of Representative Terpenoids and Their Biosynthesis Mechanisms in Medicinal Plants.,Biomolecules,2023 Nov 30,terpene_essential_oil;biosynthesis_genes;genomics_phylogenomics,chemistry;genomics,2,title_priority_only
37969984,"Biosynthesis of Artemisia abyssinica Leaf Extract-Mediated Bimetallic ZnO-CuO Nanoparticles: Antioxidant, Anticancer, and Molecular Docking Studies.",ACS omega,2023 Nov 7,biosynthesis_genes,genomics,2,title_priority_only
37421981,AaWRKY6 contributes to artemisinin accumulation during growth in Artemisia annua.,Plant science : an international journal of experimental plant biology,2023 Oct,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,lactone,2,title_priority_only
37517615,"An updated review on distribution, biosynthesis and pharmacological effects of artemisinin: A wonder drug.",Phytochemistry,2023 Oct,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone;genomics,2,title_priority_only
37770811,"Artemongolins A-K, undescribed germacrane-guaiane sesquiterpenoid dimers from Artemisia mongolica and their antihepatoma activities.",Archives of pharmacal research,2023 Oct,terpene_essential_oil;sesquiterpene_lactone,chemistry,2,title_priority_only
37245709,"Artemisia anomala S. Moore: A review of botany, traditional uses, phytochemistry, pharmacology and quality control.",Journal of ethnopharmacology,2023 Oct 28,terpene_essential_oil,chemistry,2,title_priority_only
37836231,Artemisia santonicum L. and Artemisia lerchiana Web. Essential Oils and Exudates as Sources of Compounds with Pesticidal Action.,"Plants (Basel, Switzerland)",2023 Oct 6,terpene_essential_oil,chemistry,2,title_priority_only
37247107,Environmental differences between Japan and Indonesia provide endophyte diversity associated with Artemisia plant and variety of artemisinin derivatives in microbial conversion.,Journal of natural medicines,2023 Sep,sesquiterpene_lactone;genomics_phylogenomics;antiparasitic,lactone,2,title_priority_only
37487797,"Artemeriosides A-F, the first examples of natural sesquiterpenoids substituted by a 6'-O-crontonyl β-glucopyranoside from Artemisia annua.",Fitoterapia,2023 Sep,terpene_essential_oil,chemistry,2,title_priority_only
37488037,Essential oil from Artemisia argyi alleviated liver disease in zebrafish (Danio rerio) via the gut-liver axis.,Fish & shellfish immunology,2023 Sep,terpene_essential_oil;biosynthesis_genes,chemistry,2,title_priority_only
37666615,Efficiency of Artemisia annua L. essential oil and its chitosan/tripolyphosphate or zeolite encapsulated form in controlling Sitophilus oryzae L.,Pesticide biochemistry and physiology,2023 Sep,terpene_essential_oil;safety,chemistry,2,title_priority_only
37721598,Manual correction of genome annotation improved alternative splicing identification of Artemisia annua.,Planta,2023 Sep 18,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic;safety,genomics,2,title_priority_only
37836162,Essential Oils of Artemisia frigida Plants (Asteraceae): Conservatism and Lability of the Composition.,"Plants (Basel, Switzerland)",2023 Sep 28,terpene_essential_oil,chemistry,2,title_priority_only
