pmid,title,query_families,keyword_domains,abstract_priority_score,manual_status,abstract_status
34024391,"Acaricidal activity against Ixodes ricinus nymphs of essential oils from the Libyan plants Artemisia herba alba, Origanum majorana and Juniperus phoenicea.",terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
34050229,Aging affects artemisinin synthesis in Artemisia annua.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
34105669,TiO2 nanoparticles and salinity stress in relation to artemisinin production and ADS and DBR2 expression in Artemisia absinthium L.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
34129923,Noreudesmane sesquiterpenoids from Artemisia hedinii and their anti-inflammatory activities.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
34246739,"From longevity grass to contemporary soft gold: Explore the chemical constituents, pharmacology, and toxicology of Artemisia argyi H.Lév. & vaniot essential oil.",terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
34249868,Guaianolide Sesquiterpenes With Significant Antiproliferative Activities From the Leaves of Artemisia argyi.,sesquiterpene_lactone,chemistry;primary_methods,3,pending_manual_review,retrieved
34302916,Sesquiterpenes from Artemisia Sieversiana and their anti-inflammatory activities.,terpene_essential_oil;sesquiterpene_lactone,chemistry;primary_methods,3,pending_manual_review,retrieved
34445076,Transcriptomic Analysis Reveals Key Genes Involved in Oil and Linoleic Acid Biosynthesis during Artemisia sphaerocephala Seed Development.,biosynthesis_genes;genomics_phylogenomics,genomics;primary_methods,3,pending_manual_review,retrieved
34456959,Insecticidal Terpenes From the Essential Oils of Artemisia nakaii and Their Inhibitory Effects on Acetylcholinesterase.,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
34539801,Chemical Analysis and Antioxidant and Antimicrobial Activity of Essential oils from Artemisia negrei L. against Drug-Resistant Microbes.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
34555775,Guaianolides from Artemisia codonocephala suppress interleukine-1β secretion in macrophages.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
34593786,"AaWRKY17, a positive regulator of artemisinin biosynthesis, is involved in resistance to Pseudomonas syringae in Artemisia annua.",sesquiterpene_lactone;biosynthesis_genes,genomics;primary_methods,3,pending_manual_review,retrieved
34603026,The Essential Oil of Artemisia argyi H.Lév. and Vaniot Attenuates NLRP3 Inflammasome Activation in THP-1 Cells.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
34767631,Photoprotective Effect of Artemisia sieversiana Ehrhart Essential Oil Against UVB-induced Photoaging in Mice.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
34827269,Antifungal Activity of Essential Oils from Three Artemisia Species against Colletotrichum gloeosporioides of Mango.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
34853965,Monooxygenase System and NO Metabolism in Liver Microsomes of Rats with Toxic Hepatitis and the Effect of Sesquiterpene Lactones.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;safety,chemistry;safety,3,pending_manual_review,retrieved
34857648,Artemisinin-independent inhibitory activity of Artemisia sp. infusions against different Plasmodium stages including relapse-causing hypnozoites.,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
